category,lat,lon,x_m_from_SW,y_m_from_SW,depth_m,weed_m,fish_rate,n_pings,dist_from_swim_m,bearing_from_swim
gold,51.74520296471398,-1.4338217432460423,108.0,76.0,0.6485000000000001,0.0,0.75,8.0,23.46050369497582,86.58868755706008
gold,51.745184946695964,-1.433443435456655,134.0,74.0,0.8953508771929823,0.0,0.7192982456140351,57.0,49.422625152607125,90.7002579686468
gold,51.74520296471398,-1.433850843845226,106.0,76.0,0.5780882352941177,0.0,0.5882352941176471,34.0,21.464377409952277,86.27101565154204
gold,51.745166928677946,-1.4342873528329807,76.0,72.0,0.79275,0.03699849693606198,0.5833333333333334,12.0,8.967474966447703,253.11900294535354
gold,51.745184946695964,-1.4340254474403278,94.0,74.0,0.6241,0.0007515319690137588,0.5666666666666667,30.0,9.438281436417576,93.66924767803123
gold,51.745184946695964,-1.434345554031348,72.0,74.0,0.6978181818181818,0.002995616939425472,0.45454545454545453,11.0,12.595557161034023,267.25133209933705
gold,51.74514891065993,-1.4340836486386952,90.0,70.0,0.7833333333333333,0.034397040120245116,0.4166666666666667,12.0,7.1106845293810785,130.35179623892918
gold,51.745166928677946,-1.4340254474403278,94.0,72.0,0.7594791666666666,0.0020233553011908888,0.4166666666666667,48.0,9.772268493026912,105.4543331742191
gold,51.745166928677946,-1.4343746546305316,70.0,72.0,0.8536944444444444,0.02664084479901337,0.3888888888888889,72.0,14.811765566553936,259.874349788904
gold,51.745094856605874,-1.434345554031348,72.0,64.0,0.9602727272727273,0.03449689401822596,0.36363636363636365,55.0,16.453827376351825,229.8739565460185
gold,51.74514891065993,-1.43452015762645,60.0,70.0,0.9390967741935484,0.02981884909312656,0.3548387096774194,31.0,25.008514432085175,259.39144866380485
gold,51.745184946695964,-1.4338217432460423,108.0,74.0,0.6735161290322581,0.0,0.3548387096774194,31.0,23.42672210636298,91.47743934960683
gold,51.745184946695964,-1.433763542047675,112.0,74.0,0.6860999999999999,0.0,0.35,40.0,27.425586241664277,91.2619793638537
gold,51.745184946695964,-1.4346656606223682,50.0,74.0,0.958,0.01219993541210664,0.3448275862068966,29.0,34.58634071307235,268.9993308275441
gold,51.745184946695964,-1.4337926426468586,110.0,74.0,0.691078947368421,0.0,0.34210526315789475,38.0,25.426109507234102,91.36123780207846
gold,51.745184946695964,-1.433588938452573,124.0,74.0,0.9329166666666667,0.0,0.3333333333333333,36.0,39.423561442994874,90.87787805965777
gold,51.745184946695964,-1.4336471396509405,120.0,74.0,0.7846666666666666,0.0,0.30303030303030304,33.0,35.42408396556477,90.97700205117188
gold,51.745166928677946,-1.4341418498370624,86.0,72.0,0.6509769585253457,0.010757483484145899,0.2995391705069124,217.0,2.9655163798887707,151.41396258836627
gold,51.745184946695964,-1.4343164534321644,74.0,74.0,0.6521447368421053,0.009721233364368257,0.29605263157894735,152.0,10.598292137036982,266.73282380093974
gold,51.74514891065993,-1.4344619564280825,64.0,70.0,0.9639032258064516,0.03904982489118637,0.2903225806451613,31.0,21.08974315040421,257.39044072611995
gold,51.74514891065993,-1.434432855828899,66.0,70.0,0.9910405405405406,0.006937218175511619,0.28378378378378377,74.0,19.142962210042775,256.08352693587534
gold,51.745184946695964,-1.4337344414484914,114.0,74.0,0.6768181818181819,0.0,0.2727272727272727,33.0,29.42513409865908,91.17621066041976
gold,51.74513089264191,-1.4344037552297153,68.0,68.0,1.0018529411764707,0.02223990532737549,0.2647058823529412,34.0,17.84782376725555,248.2832632694351
gold,51.745184946695964,-1.4342000510354298,82.0,74.0,0.6464285714285714,0.0007518167480850031,0.26108374384236455,203.0,2.650799940093139,256.8287202358838
